agency,description,name,price
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,307'}",14001 N Cameo Dr Sun City Unit 25,"$599,900"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,307'}",17206 N Country Club Dr Sun City 53,"$599,900"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,196'}",10952 W Tropicana Circle Sun City,"$599,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,443'}",14649 N Fallbrook Ct Sun City Unit 25,"$569,000"
Keller Williams Realty Professional Partners,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,244'}",16410 N Meadow Park Dr Sun City 31A,"$559,900"
"Venture Rei, Llc","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,617'}",4341 Box Elder Ln Torreon,"$1,099,900"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,586'}",4050 W Acer Ln Rendezvous Unit 4 At Torreon,"$979,900"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '3', 'Sq.Ft. Lot': '28,861'}",4761 W Hawthorn Rd Trailhead At Torreon,"$949,900"
Hub Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,543'}",2740 W Billy Mayfair Loop The Retreat At Bison Crossing,"$875,000"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,400'}",8371 Lake View Dr Eaglecrest,"$829,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,087'}",2321 W Edgewater -- Torreon Lakes Unit II,"$799,000"
Exp Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,261'}",1761 S Alder Leaf Ln Torreon Meadows,"$775,000"
Perkinson Properties Llc,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,146'}",980 E Lauren Ct Cedar Ridge,"$769,900"
4 Sons Realty E.S.V.C. Llc,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,053'}",232 S Avenue B -- Original Townsite Of San Manuel,"$169,950"
Nexthome Complete Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,544'}",110 S Avenue A -- San Manuel Townsites,"$120,000"
"Balboa Realty, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,531'}",252 E Leland Rd Pecan Cove,"$3,994,990"
San Tan Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,937'}",3462 W Silverdale Rd That Portion Of Parcel 15 Of Amended Results Of Su,"$1,650,000"
Mahoney Properties,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,200'}",185 W Marilyn Way Country Mini-Farms Amd,"$1,450,000"
Exp Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,750'}",43352 N Kenworthy Rd Queen Creek Suburban Ranches,"$1,300,000"
Better Homes & Gardens Real Estate Sj Fowler,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,977'}",1531 W Ocotillo Rd  ,"$1,300,000"
Success Property Brokers,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,423'}",399 W Via De Arboles -- Vinwood Estates Unit No 1,"$1,170,000"
